Name   	 long 	 lat 	 X0 	 Y0 	 a 	 b 	 tita 	 V0 	 dV 	 D 	 MassMiss  	 MassShell 
눠   	 GS265-06+082   	        265.0 	         -5.9 	        265.1 	         -5.6 	          2.6 	          2.2 	         34.1 	      82500.0 	      11300.0 	          9.8 	      67500.0 
1.280000e+05   	 GS260-04+081   	        259.6 	         -4.2 	        260.2 	         -4.1 	          2.0 	          1.3 	         17.2 	      81400.0 	      12400.0 	          9.1 	      37000.0 
酐   	 GS269+04+044   	        269.1 	          3.7 	        269.3 	          3.7 	          3.4 	          2.1 	        103.3 	      44300.0 	      21700.0 	          6.1 	      15500.0 
呠   	 GS253+07+062   	        251.4 	          9.8 	        252.9 	          6.7 	          8.5 	          4.0 	          7.0 	      61800.0 	      19600.0 	          6.2 	      51800.0 
1.000000e+05   	 GS261-03+055   	        261.8 	         -4.4 	        261.5 	         -3.4 	          2.1 	          1.8 	          1.3 	      54600.0 	       9300.0 	          6.3 	      16500.0 
慄   	 GS257+00+067   	        257.0 	         -0.2 	        256.6 	         -0.3 	          1.7 	          1.1 	        111.6 	      67000.0 	       7200.0 	          7.1 	      11800.0 
亄   	 GS263+10+020   	        263.2 	         11.5 	        263.0 	         10.4 	          3.7 	          3.3 	        131.1 	      19600.0 	      15500.0 	          2.8 	      13900.0 
㏴   	 GS164+00-021   	        163.7 	          0.3 	        163.9 	          0.5 	          2.1 	          1.8 	         -9.5 	     -20600.0 	       9300.0 	          4.1 	      19800.0 
硐   	 GS129+05-061   	        129.7 	          6.5 	        128.6 	          5.1 	          4.0 	          2.3 	        -10.7 	     -60800.0 	      18600.0 	          6.0 	     167000.0 
2.110000e+05   	 GS135-09-056   	        136.4 	         -9.3 	        135.3 	         -8.8 	          4.9 	          3.2 	        -15.0 	     -55700.0 	      13400.0 	          5.9 	      47700.0 
풀   	 GS153+02-047   	        153.6 	          1.8 	        153.4 	          1.6 	          1.4 	          1.0 	         23.7 	     -47400.0 	       9300.0 	          8.2 	      14000.0 
怘   	 GS133-07-045   	        134.2 	         -7.7 	        133.0 	         -7.3 	          4.8 	          4.5 	        -40.9 	     -45400.0 	      13400.0 	          4.2 	      97500.0 
1.580000e+05   	 GS240+00+035   	        240.3 	         -0.6 	        239.8 	         -0.4 	          2.9 	          2.5 	          9.3 	      35000.0 	       7200.0 	          3.0 	       4690.0 
ዞ   	 GS232+02+081   	        231.7 	          2.5 	        231.7 	          2.3 	          1.6 	          1.3 	        -38.9 	      81400.0 	       9300.0 	          9.2 	      17200.0 
罘   	 GS247+00+086   	        247.2 	          0.6 	        246.7 	          0.3 	          1.8 	          1.4 	        -32.0 	      85500.0 	      13400.0 	          9.0 	      37500.0 
7.470000e+04   	 GS239-02+068   	        239.1 	         -2.0 	        238.9 	         -2.0 	          1.9 	          1.5 	        -21.6 	      68000.0 	      14400.0 	          6.6 	      46900.0 
7.210000e+04   	 GS146-11-045   	        146.1 	        -11.2 	        145.8 	        -10.8 	          1.7 	          1.2 	        107.4 	     -45400.0 	      32000.0 	          5.6 	       2210.0 
ဘ   	 GS137+03-063   	        137.2 	          3.7 	        136.6 	          3.3 	          2.4 	          2.0 	         -8.4 	     -62900.0 	       6200.0 	          7.1 	      22400.0 
ꖠ   	 GS124-09-043   	        124.0 	        -10.2 	        124.2 	         -9.3 	          2.9 	          2.6 	         21.2 	     -43300.0 	      39200.0 	          3.8 	      23000.0 
ꘄ   	 GS122-02-077   	        120.4 	         -4.2 	        121.8 	         -2.3 	          7.0 	          3.7 	         -0.3 	     -77300.0 	      16500.0 	          7.9 	     153000.0 
1.920000e+05   	 GS105-12-040   	        105.6 	        -13.3 	        105.5 	        -12.5 	          2.8 	          2.0 	        108.3 	     -40200.0 	      28900.0 	          4.2 	      23300.0 
庈   	 GS113-14-042   	        113.2 	        -14.9 	        112.7 	        -13.6 	          6.7 	          3.6 	        -33.1 	     -42300.0 	      15500.0 	          4.0 	      32100.0 
踰   	 GS108+03-088   	        108.5 	          3.3 	        108.4 	          3.3 	          1.3 	          0.9 	          4.4 	     -87600.0 	      13400.0 	          9.4 	      16800.0 
罘   	 GS107+02-069   	        107.2 	          1.8 	        106.9 	          2.1 	          1.3 	          0.9 	        -21.0 	     -69100.0 	      13400.0 	          7.0 	      44000.0 
7.140000e+04   	 GS146-11-025   	        145.2 	        -11.4 	        145.6 	        -10.8 	          3.7 	          3.4 	          1.8 	     -24700.0 	      14500.0 	          2.4 	       9110.0 
⽄   	 GS164+00-021   	        163.7 	          0.3 	        163.9 	          0.5 	          2.1 	          1.8 	         -9.5 	     -20600.0 	       9300.0 	          4.1 	      30700.0 
炀   	 GS114-05-062   	        112.7 	         -5.5 	        113.7 	         -5.2 	          2.1 	          2.0 	        -34.6 	     -61800.0 	      14400.0 	          6.0 	      39400.0 
ꑴ   	 GS144+08-031   	        144.2 	          9.8 	        144.4 	          7.9 	          4.9 	          4.2 	          2.7 	     -30900.0 	      18600.0 	          3.0 	      35000.0 
﹌   	 269-01+080   	        268.6 	         -0.7 	        268.6 	         -0.6 	          1.2 	          1.0 	         32.2 	      80400.0 	      12400.0 	         10.0 	          NaN 
NaN   	 268-01+066   	        267.9 	          0.3 	        267.8 	         -1.1 	          2.2 	          1.7 	        -36.9 	      66000.0 	      10300.0 	          8.2 	          NaN 
NaN   	 267-03+117   	        267.9 	         -3.0 	        267.5 	         -3.0 	          2.7 	          1.6 	          7.6 	     117500.0 	       5200.0 	         15.7 	          NaN 
NaN   	 266+07+029   	        266.0 	          6.9 	        265.5 	          6.7 	          2.6 	          2.0 	        -32.2 	      28900.0 	      12400.0 	          4.1 	          NaN 
NaN   	 265-03+108   	        265.7 	         -2.2 	        265.1 	         -2.7 	          1.6 	          1.2 	         59.1 	     108200.0 	       6200.0 	         13.7 	          NaN 
NaN   	 265-11+024   	        267.2 	        -12.9 	        264.9 	        -11.2 	          6.7 	          4.0 	        -20.2 	      23700.0 	       6200.0 	          3.8 	          NaN 
NaN   	 264-06+100   	        264.5 	         -6.0 	        264.5 	         -5.7 	          1.1 	          1.0 	        103.3 	     100000.0 	       5200.0 	         12.2 	          NaN 
NaN   	 264-02+067   	        264.0 	         -2.7 	        264.4 	         -2.3 	          1.3 	          0.7 	        -26.8 	      67000.0 	       5200.0 	          7.8 	          NaN 
NaN   	 264-02+125   	        263.5 	         -2.2 	        263.5 	         -2.3 	          1.7 	          1.2 	        -11.3 	     124700.0 	      12400.0 	         16.7 	          NaN 
NaN   	 263+00+064   	        263.2 	          0.6 	        263.3 	          0.2 	          1.1 	          1.0 	         57.8 	      63900.0 	       9300.0 	          7.4 	          NaN 
NaN   	 263+00+048   	        263.0 	         -0.2 	        263.2 	         -0.2 	          2.2 	          1.5 	          0.4 	      48400.0 	      13400.0 	          5.7 	          NaN 
NaN   	 263-04+121   	        262.7 	         -4.1 	        262.6 	         -4.0 	          1.2 	          0.9 	        -38.2 	     120600.0 	       6200.0 	         15.8 	          NaN 
NaN   	 263-03+094   	        262.6 	         -3.3 	        262.6 	         -3.3 	          0.8 	          0.6 	         82.0 	      93800.0 	      10300.0 	         11.1 	          NaN 
NaN   	 262+05+046   	        261.8 	          5.3 	        262.2 	          4.8 	          2.4 	          1.9 	        -26.0 	      46400.0 	       6200.0 	          5.4 	          NaN 
NaN   	 262+00+092   	        262.0 	          1.4 	        261.8 	          0.5 	          1.8 	          1.5 	        134.7 	      91700.0 	       6200.0 	         10.7 	          NaN 
NaN   	 261+30+022   	        261.2 	         29.1 	        261.0 	         30.0 	          4.1 	          2.7 	         68.8 	      21600.0 	      11300.0 	          3.1 	          NaN 
NaN   	 260+00+098   	        259.5 	          1.3 	        259.9 	          0.1 	          2.5 	          2.0 	        -19.0 	      97900.0 	       8300.0 	         11.4 	          NaN 
NaN   	 259-17+012   	        258.6 	        -17.6 	        258.9 	        -16.8 	          5.6 	          3.8 	          5.7 	      12400.0 	       9300.0 	          1.6 	          NaN 
NaN   	 258-05+090   	        258.0 	         -5.2 	        257.7 	         -5.5 	          1.9 	          1.1 	        -40.2 	      89700.0 	      10300.0 	         10.1 	          NaN 
NaN   	 257-04+107   	        257.2 	         -4.5 	        257.3 	         -4.3 	          1.7 	          1.5 	        -42.5 	     107200.0 	       9300.0 	         12.8 	          NaN 
NaN   	 257-30+021   	        257.3 	        -32.0 	        257.1 	        -30.4 	          5.1 	          4.2 	         17.8 	      20600.0 	      10300.0 	          2.8 	          NaN 
NaN   	 256-05+052   	        255.7 	         -5.9 	        256.4 	         -5.2 	          2.3 	          1.8 	         -2.8 	      51500.0 	       7200.0 	          5.4 	          NaN 
NaN   	 256+01+099   	        256.2 	          1.5 	        256.0 	          0.6 	          2.2 	          1.5 	          7.3 	      98900.0 	       9300.0 	         11.3 	          NaN 
NaN   	 255+21+015   	        253.6 	         21.8 	        255.3 	         20.7 	          5.3 	          4.9 	        -40.6 	      15500.0 	      14400.0 	          1.7 	          NaN 
NaN   	 255-04+064   	        255.2 	         -4.7 	        255.0 	         -4.1 	          3.2 	          2.4 	        -12.6 	      63900.0 	      15500.0 	          6.7 	          NaN 
NaN   	 255-01+055   	        255.0 	         -0.9 	        254.9 	         -0.7 	          1.6 	          1.2 	         78.2 	      54600.0 	      13400.0 	          5.6 	          NaN 
NaN   	 254-13+023   	        253.9 	        -13.1 	        253.7 	        -13.1 	          3.4 	          2.9 	         76.3 	      22700.0 	      10300.0 	          2.4 	          NaN 
NaN   	 253-03+044   	        253.7 	         -3.3 	        253.4 	         -3.4 	          2.2 	          1.4 	        -37.4 	      44300.0 	       9300.0 	          4.5 	          NaN 
NaN   	 253+04+091   	        253.2 	          4.8 	        253.0 	          4.5 	          1.4 	          1.1 	         59.2 	      90700.0 	      15500.0 	          9.9 	          NaN 
NaN   	 253-02+104   	        252.7 	         -1.7 	        252.6 	         -2.0 	          0.8 	          0.6 	         83.1 	     104100.0 	      10300.0 	         12.1 	          NaN 
NaN   	 252-09+072   	        253.2 	         -9.7 	        252.2 	         -8.7 	          2.1 	          2.0 	         -2.9 	      72100.0 	       7200.0 	          7.6 	          NaN 
NaN   	 251-08+054   	        251.2 	         -7.7 	        251.1 	         -7.8 	          2.2 	          1.7 	        -31.4 	      53600.0 	      15500.0 	          5.3 	          NaN 
NaN   	 251+05+059   	        250.6 	          7.3 	        250.5 	          5.4 	          3.9 	          3.1 	         27.1 	      58700.0 	       7200.0 	          5.8 	          NaN 
NaN   	 249-02+052   	        249.0 	         -1.5 	        249.3 	         -1.9 	          1.9 	          1.5 	         -6.4 	      51500.0 	      10300.0 	          4.9 	          NaN 
NaN   	 249-02+123   	        248.7 	         -2.7 	        248.9 	         -2.2 	          1.8 	          0.9 	         -6.7 	     122600.0 	      13400.0 	         16.3 	          NaN 
NaN   	 248-01+062   	        248.2 	         -1.2 	        248.4 	         -1.5 	          2.2 	          1.9 	        124.3 	      61800.0 	      13400.0 	          6.0 	          NaN 
NaN   	 248-08+046   	        247.7 	         -8.5 	        247.9 	         -8.5 	          2.1 	          1.9 	        -23.5 	      46400.0 	      14400.0 	          4.4 	          NaN 
NaN   	 247+10+023   	        246.6 	         10.9 	        246.6 	         10.1 	          3.7 	          2.7 	         10.8 	      22700.0 	      24700.0 	          2.1 	          NaN 
NaN   	 245-03+098   	        244.7 	         -3.1 	        244.8 	         -3.2 	          2.2 	          1.1 	         -1.4 	      97900.0 	      20600.0 	         11.1 	          NaN 
NaN   	 245-06+065   	        244.4 	         -6.2 	        244.6 	         -6.3 	          1.9 	          0.9 	        125.9 	      64900.0 	       6200.0 	          6.3 	          NaN 
NaN   	 244+02+075   	        244.2 	          2.2 	        244.3 	          1.7 	          1.5 	          1.1 	          1.7 	      75200.0 	       8200.0 	          7.5 	          NaN 
NaN   	 244-03+044   	        243.2 	         -2.9 	        244.2 	         -2.6 	          4.1 	          3.2 	         31.1 	      44300.0 	       8300.0 	          4.0 	          NaN 
NaN   	 243-32+020   	        242.7 	        -31.5 	        243.3 	        -32.1 	          4.9 	          3.8 	        -11.1 	      19600.0 	       7600.0 	          1.9 	          NaN 
NaN   	 243-02+114   	        243.2 	         -2.2 	        243.2 	         -2.0 	          1.5 	          1.2 	        -11.7 	     114400.0 	       7200.0 	         14.8 	          NaN 
NaN   	 243-02+080   	        243.7 	         -2.2 	        243.0 	         -2.3 	          1.7 	          1.4 	        -33.6 	      80400.0 	       6200.0 	          8.2 	          NaN 
NaN   	 242-13+055   	        242.5 	        -14.2 	        242.1 	        -12.8 	          1.9 	          1.5 	         63.0 	      54600.0 	       9300.0 	          5.2 	          NaN 
NaN   	 242+05+058   	        242.7 	          5.0 	        242.1 	          4.9 	          2.6 	          2.3 	        -10.9 	      57700.0 	       8200.0 	          5.4 	          NaN 
NaN   	 242+05+091   	        242.2 	          5.0 	        242.0 	          4.5 	          3.0 	          2.9 	         77.5 	      90700.0 	      23700.0 	          9.9 	          NaN 
NaN   	 241-02+098   	        240.4 	         -2.5 	        240.7 	         -2.5 	          2.1 	          1.3 	          9.0 	      97900.0 	      14400.0 	         11.4 	          NaN 
NaN   	 240-13+037   	        241.1 	        -13.7 	        240.5 	        -13.2 	          2.5 	          2.2 	         85.1 	      37100.0 	       8200.0 	          3.3 	          NaN 
NaN   	 240-05+078   	        240.9 	         -6.2 	        240.5 	         -5.1 	          2.1 	          1.5 	        -10.2 	      78300.0 	       7200.0 	          8.0 	          NaN 
NaN   	 240-11+057   	        240.5 	        -11.2 	        240.5 	        -11.0 	          1.9 	          1.2 	        -16.1 	      56700.0 	       9300.0 	          5.3 	          NaN 
NaN   	 240-03+075   	        240.3 	         -3.2 	        240.3 	         -3.1 	          1.1 	          0.9 	         -0.6 	      75200.0 	       6200.0 	          7.6 	          NaN 
NaN   	 239-02+049   	        239.5 	         -1.7 	        238.9 	         -1.7 	          2.9 	          2.3 	        118.0 	      49500.0 	      14400.0 	          4.4 	          NaN 
NaN   	 238+07+076   	        237.2 	          7.3 	        238.0 	          7.1 	          1.8 	          1.3 	         22.3 	      76300.0 	      14400.0 	          7.9 	          NaN 
NaN   	 238+08+038   	        239.7 	          9.4 	        237.8 	          7.8 	          5.9 	          3.5 	          5.8 	      38100.0 	      15500.0 	          3.3 	          NaN 
NaN   	 238-06+047   	        238.2 	         -5.5 	        237.8 	         -5.8 	          3.1 	          2.4 	          0.2 	      47400.0 	      13400.0 	          4.2 	          NaN 
NaN   	 237+06+057   	        236.6 	          7.3 	        237.1 	          6.4 	          2.9 	          2.0 	        -20.9 	      56700.0 	      19600.0 	          5.3 	          NaN 
NaN   	 236-17+032   	        236.2 	        -19.6 	        235.7 	        -17.4 	          4.4 	          3.4 	        -24.8 	      32000.0 	      15500.0 	          2.8 	          NaN 
NaN   	 235-05+079   	        235.2 	         -6.2 	        235.5 	         -5.1 	          2.5 	          1.7 	         10.8 	      79400.0 	       9300.0 	          8.5 	          NaN 
NaN   	 235-03+104   	        234.5 	         -3.7 	        235.2 	         -3.5 	          1.5 	          1.3 	        -44.8 	     104100.0 	       7200.0 	         14.0 	          NaN 
NaN   	 233-07+063   	        233.6 	         -8.1 	        233.4 	         -7.5 	          1.4 	          1.4 	        117.9 	      62900.0 	      15500.0 	          6.2 	          NaN 
NaN   	 233-11+058   	        230.8 	        -12.7 	        232.7 	        -11.3 	          4.0 	          2.6 	         -2.9 	      57700.0 	      19600.0 	          5.7 	          NaN 
NaN   	 233-14+047   	        232.1 	        -15.6 	        232.6 	        -14.0 	          5.0 	          3.3 	          2.1 	      47400.0 	      20600.0 	          4.4 	          NaN 
NaN   	 232-04+075   	        231.6 	         -3.9 	        232.1 	         -3.7 	          1.7 	          1.2 	        -23.0 	      75200.0 	       8200.0 	          8.1 	          NaN 
NaN   	 231-09+044   	        229.8 	         -8.6 	        230.5 	         -8.9 	          2.3 	          1.9 	        -43.3 	      44300.0 	      14400.0 	          4.0 	          NaN 
NaN   	 230-37+016   	        233.8 	        -40.9 	        230.0 	        -36.9 	         12.7 	          8.4 	         -3.9 	      16500.0 	       9300.0 	          1.7 	          NaN 
NaN   	 230+03+052   	        229.9 	          4.8 	        229.6 	          3.3 	          2.3 	          2.0 	         48.2 	      51500.0 	      10300.0 	          4.8 	          NaN 
NaN   	 229-02+051   	        229.1 	         -2.2 	        229.5 	         -1.7 	          2.7 	          1.9 	          0.0 	      50500.0 	       8200.0 	          4.7 	          NaN 
NaN   	 229+02+063   	        228.9 	          2.5 	        229.3 	          2.1 	          2.3 	          1.4 	          7.3 	      62900.0 	      11300.0 	          6.4 	          NaN 
NaN   	 229-04+087   	        228.3 	         -4.6 	        228.8 	         -4.3 	          2.1 	          1.6 	         19.4 	      86600.0 	      14400.0 	         11.0 	          NaN 
NaN   	 229-11+061   	        229.2 	        -10.8 	        228.6 	        -10.5 	          1.5 	          1.2 	          7.1 	      60800.0 	      10300.0 	          6.2 	          NaN 
NaN   	 227+09+034   	        225.9 	         11.8 	        227.5 	          8.6 	          5.9 	          4.1 	        -30.9 	      34000.0 	      14400.0 	          3.0 	          NaN 
NaN   	 225+06+053   	        225.2 	          6.8 	        225.2 	          6.3 	          1.9 	          1.3 	        -42.1 	      52600.0 	      16500.0 	          5.2 	          NaN 
NaN   	 222+01+041   	        221.7 	          2.3 	        222.2 	          1.5 	          2.4 	          1.3 	          8.2 	      41200.0 	       8200.0 	          3.9 	          NaN 
NaN   	 221+07+035   	        222.4 	         10.3 	        221.3 	          7.3 	          8.6 	          3.2 	          1.4 	      35000.0 	      11300.0 	          3.2 	          NaN 
NaN   	 221+06+068   	        221.1 	          6.8 	        221.0 	          5.6 	          1.8 	          1.7 	        -43.1 	      68000.0 	       8200.0 	          8.5 	          NaN 
NaN   	 221-07+042   	        220.7 	         -7.7 	        220.8 	         -6.8 	          2.5 	          1.6 	         -7.6 	      42300.0 	       9300.0 	          4.2 	          NaN 
NaN   	 218+01+070   	        218.5 	          0.8 	        218.3 	          0.6 	          2.8 	          2.0 	        -19.2 	      70100.0 	      11300.0 	          9.7 	          NaN 
NaN   	 216+05+070   	        216.2 	          5.2 	        216.5 	          4.9 	          1.4 	          1.1 	         75.1 	      70100.0 	       8200.0 	         10.7 	          NaN 
NaN   	 215+05+063   	        212.7 	          5.8 	        214.6 	          4.5 	          3.1 	          2.4 	         25.4 	      62900.0 	      10300.0 	         10.1 	          NaN 
NaN   	 214-06+057   	        214.3 	         -6.2 	        214.5 	         -5.6 	          1.5 	          1.1 	        122.4 	      56700.0 	      10300.0 	          7.8 	          NaN 
NaN   	 214-01+070   	        213.2 	         -1.0 	        214.1 	         -1.1 	          1.8 	          1.3 	        -22.5 	      70100.0 	      11300.0 	         12.4 	          NaN 
NaN   	 212+06+034   	        212.2 	          6.4 	        211.9 	          6.0 	          2.7 	          2.4 	          2.7 	      34000.0 	      25800.0 	          3.8 	          NaN 
NaN   	 212+04+053   	        211.7 	          3.7 	        211.7 	          3.6 	          1.2 	          0.9 	        -17.7 	      52600.0 	      12400.0 	          7.5 	          NaN 
NaN   	 212-30+020   	        212.2 	        -30.4 	        211.5 	        -30.3 	          5.1 	          3.5 	         37.6 	      19600.0 	       7200.0 	          2.2 	          NaN 
NaN   	 211+07+049   	        211.2 	          8.8 	        211.0 	          7.4 	          2.8 	          2.2 	        -10.3 	      49500.0 	      12400.0 	          7.0 	          NaN 
NaN   	 210-10+038   	        209.5 	        -11.1 	        209.9 	         -9.6 	          3.5 	          2.6 	        -38.8 	      38100.0 	      13400.0 	          5.0 	          NaN 
NaN   	 209-41+022   	        212.1 	        -43.7 	        209.5 	        -41.2 	          9.4 	          4.5 	        130.0 	      21600.0 	      12400.0 	          3.1 	          NaN 
NaN   	 209+03+047   	        208.5 	          2.7 	        208.8 	          2.9 	          1.3 	          0.9 	         37.7 	      47400.0 	       8300.0 	          7.3 	          NaN 
NaN   	 209-41+022   	        209.2 	        -43.8 	        208.6 	        -41.0 	          8.6 	          7.4 	         88.4 	      21600.0 	      12400.0 	          3.4 	          NaN 
NaN   	 208-03+030   	        208.1 	         -3.7 	        207.9 	         -3.5 	          2.4 	          2.1 	        104.6 	      29900.0 	       6200.0 	          3.6 	          NaN 
NaN   	 206-01+056   	        205.6 	         -0.5 	        206.0 	         -0.7 	          1.5 	          1.1 	         52.2 	      55700.0 	      11300.0 	         12.1 	          NaN 
NaN   	 204+06+033   	        203.2 	          9.3 	        204.4 	          6.4 	          4.4 	          4.1 	         18.3 	      33000.0 	      10300.0 	          5.4 	          NaN 
NaN   	 203+25+016   	        203.2 	         24.3 	        202.5 	         25.0 	          6.1 	          3.9 	         -3.1 	      16500.0 	      18600.0 	          2.2 	          NaN 
NaN   	 203-11+025   	        202.7 	        -11.7 	        202.5 	        -11.5 	          2.5 	          2.0 	         45.3 	      24700.0 	       9300.0 	          3.6 	          NaN 
NaN   	 201-29+025   	        199.7 	        -29.2 	        201.1 	        -28.8 	          5.6 	          3.6 	         77.1 	      24700.0 	      16500.0 	          5.2 	          NaN 
NaN   	 201-34+016   	        201.2 	        -33.8 	        201.0 	        -34.2 	          3.7 	          3.0 	        -16.4 	      16500.0 	      14400.0 	          2.8 	          NaN 
NaN   	 198-18+026   	        197.2 	        -18.8 	        198.4 	        -17.5 	          4.1 	          3.0 	         37.1 	      25800.0 	      12400.0 	          6.0 	          NaN 
NaN   	 197+00+039   	        196.5 	          0.3 	        196.7 	          0.0 	          1.1 	          1.0 	         57.3 	      39200.0 	       7200.0 	         13.9 	          NaN 
NaN   	 162-09-044   	        162.9 	         -9.9 	        162.5 	         -9.4 	          1.9 	          1.5 	         -4.9 	     -44300.0 	      12400.0 	         18.8 	          NaN 
NaN   	 161-03-048   	        160.7 	         -2.7 	        161.2 	         -2.6 	          1.5 	          1.2 	         12.7 	     -48400.0 	       6200.0 	         16.7 	          NaN 
